date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:42:07	46070/46070	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Oct%202022%2006:42:06%20GMT	https://hasa.botble.com/products	D:/Demo-DACS2/hasa.botble.com/products.html	(from https://hasa.botble.com/vi)
13:42:07	301/301	---MC-	302	error ('Found')	text/html	date:Tue,%2011%20Oct%202022%2006:42:07%20GMT	https://hasa.botble.com/vi/ajax/featured-product-categories	D:/Demo-DACS2/hasa.botble.com/vi/ajax/featured-product-categories	(from https://hasa.botble.com/vi)
13:42:08	709173/709173	---M--	200	added ('OK')	image/jpeg	etag:%22623fa94e-ad235%22	https://cdn.botble.com/hasa/storage/sliders/1.jpg	D:/Demo-DACS2/cdn.botble.com/hasa/storage/sliders/1.jpg	(from https://hasa.botble.com/vi)
13:42:08	36963/36963	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Oct%202022%2006:42:07%20GMT	https://hasa.botble.com/vi/products?collections%5B%5D=1	D:/Demo-DACS2/hasa.botble.com/vi/products5957.html	(from https://hasa.botble.com/vi)
13:42:09	435599/435599	---M--	200	added ('OK')	image/jpeg	etag:%22623fa94e-6a58f%22	https://cdn.botble.com/hasa/storage/sliders/3.jpg	D:/Demo-DACS2/cdn.botble.com/hasa/storage/sliders/3.jpg	(from https://hasa.botble.com/vi)
13:42:09	82368/82368	---M--	200	added ('OK')	image/jpeg	etag:%22623fa94e-141c0%22	https://cdn.botble.com/hasa/storage/product-collections/1-570x570.jpg	D:/Demo-DACS2/cdn.botble.com/hasa/storage/product-collections/1-570x570.jpg	(from https://hasa.botble.com/vi)
13:42:09	38475/38475	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Oct%202022%2006:42:09%20GMT	https://hasa.botble.com/vi/products?collections%5B%5D=2	D:/Demo-DACS2/hasa.botble.com/vi/products140f.html	(from https://hasa.botble.com/vi)
13:42:09	27833/27833	---M--	200	added ('OK')	image/jpeg	etag:%22623fa94e-6cb9%22	https://cdn.botble.com/hasa/storage/product-collections/2-570x570.jpg	D:/Demo-DACS2/cdn.botble.com/hasa/storage/product-collections/2-570x570.jpg	(from https://hasa.botble.com/vi)
13:42:10	42918/42918	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Oct%202022%2006:42:09%20GMT	https://hasa.botble.com/vi/products?collections%5B%5D=3	D:/Demo-DACS2/hasa.botble.com/vi/productsd1dd.html	(from https://hasa.botble.com/vi)
13:42:10	66572/66572	---M--	200	added ('OK')	image/jpeg	etag:%22623fa94e-1040c%22	https://cdn.botble.com/hasa/storage/product-collections/3-570x570.jpg	D:/Demo-DACS2/cdn.botble.com/hasa/storage/product-collections/3-570x570.jpg	(from https://hasa.botble.com/vi)
